SECRETARIA,CÓDIGO MUNICIPIO, NOMBRE MUNICIPIO, CÓDIGO ESTABLECIMIENTO, NOMBRE ESTABLECIMIENTO, CÓDIGO SEDE, NOMBRE SEDE, ZONA, DIRECCIÓN, TELÉFONO, ESTADO SEDE, NIVELES, MODELOS, GRADOS,SECTOR
BOYACA,15494,NUEVO COLÓN,115494000131,I.E. NUESTRA SEÑORA DE LA ANTIGUA,215494000080,ESC PAVAQUIRA,RURAL,VDA PAVAQUIRA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15494,NUEVO COLÓN,115494000131,I.E. NUESTRA SEÑORA DE LA ANTIGUA,215494000101,ESC SORCA ABAJO,RURAL,VDA APOSENTOS,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15507,OTANCHE,115507000012,I.E. SAN IGNACIO DE LOYOLA,215507000084,ESC ALTOSANO,RURAL,VDA ALTOSANO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,21,22",OFICIAL
BOYACA,15507,OTANCHE,115507000012,I.E. SAN IGNACIO DE LOYOLA,215507000190,ESC EL RAMAL,RURAL,VDA EL RAMAL,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15507,OTANCHE,115507000012,I.E. SAN IGNACIO DE LOYOLA,215507000254,ESC COBRE NEIVA,RURAL,VDA COBRE NEIVA,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15507,OTANCHE,115507000012,I.E. SAN IGNACIO DE LOYOLA,215507000271,ESC LA LLANO,RURAL,VDA LA LLANO,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15507,OTANCHE,115507000012,I.E. SAN IGNACIO DE LOYOLA,215507000301,ESC LA LAGUNA,RURAL,VDA LA LAGUNA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,23,24",OFICIAL
BOYACA,15511,PACHAVITA,315511000018,I.E. TECNICA HONORIO ANGEL Y OLARTE,215511000111,ESC GUACAL,RURAL,VDA GUACAL,7502857,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15514,PÁEZ,115514000249,I.E. DE EDUCACION BASICA Y MEDIA TECNICA JOSE ANTONIO PAEZ,215514000383,ESC CHIRIRE,RURAL,VDA CHIRIRE,0,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"-1,0,1,2,3,4,5",OFICIAL
BOYACA,15514,PÁEZ,115514000249,I.E. DE EDUCACION BASICA Y MEDIA TECNICA JOSE ANTONIO PAEZ,215514000405,ESC RURAL PORVENIR,RURAL,VDA LA CHULA - PORVENIR,0,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"-1,0,1,2,3,4,5",OFICIAL
